Food_Item,Food_Item_VN,Category,Category_VN,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
Pita Bread (1 white),Bánh mì Pita (1 chiếc màu trắng),Grain,Ngũ cốc,165,"46,147.00",33,"46,054.00",1.5,"46,143.00",310,0,Snack,0
Falafel (3 pieces),Falafel (3 viên),Meal/Vegetarian,Bữa ăn/Chay,180,6,18,9,4,1,320,0,Lunch,0
Tahini Sauce (1 tbsp),Sốt Tahini (1 tbsp),Condiment,Gia vị,30,1,"46,143.00","46,144.00",0.5,0,45,0,Lunch,0
Pickled Turnips (2 tbsp),Củ cải muối chua (30 mL),Vegetable,Rau củ,10,0.2,2,0,0.5,1,200,0,Lunch,0
Shawarma (Chicken 1 wrap),"Shawarma (Gà, 1 cuộn)",Meal/Processed,Bữa ăn/Chế biến,550,30,50,25,6,5,1100,80,Lunch,250
Garlic Sauce (1 tbsp),Sốt Tỏi (15 ml),Condiment,Gia vị,90,0.1,1,10,0,0.5,80,5,Lunch,0
Hummus (1/4 cup),Hummus (60 ml),Legume,Đậu,130,5,10,8,4,1,250,0,Lunch,0
Tabouli (1/2 cup),Tabouli (120g),Meal/Vegetarian,Bữa ăn/Chay,120,3,15,6,4,2,300,0,Lunch,0
Bulgur (1/4 cup in tabouli),Lúa mì bulgur (60 ml trong món salad tabouli),Grain,Ngũ cốc,76,"46,205.00","46,250.00",0.2,4.1,0.1,4,0,Lunch,0
Parsley (1/4 cup in tabouli),"Rau mùi tây (khoảng 12,7g trong món tabouli)",Vegetable,Rau củ,5,0.3,1,0.1,0.5,0.1,5,0,Lunch,0
Mint (1 tbsp in tabouli),Bạc hà (15 ml trong tabouli),Condiment,Gia vị,1,0.1,0.1,0,0.1,0,0,0,Lunch,0
Lemon Juice (1 tbsp dressing),Nước cốt chanh (15 ml nước sốt),Condiment,Gia vị,4,0.1,"46,082.00",0,0.1,0.2,0,0,Lunch,0
Olive Oil (1 tbsp dressing),Dầu ô liu (1 muỗng canh khẩu phần nước xốt),Condiment,Gia vị,120,0,0,14,0,0,0,0,Lunch,0
Kibbeh (1 piece fried),Kibbeh (1 miếng chiên),Meal/Meat,Bữa ăn/Thịt,230,9,20,13,3,1,450,30,Snack,0
Pine Nuts (1/2 tbsp filling),Hạt thông (7.5 ml phần nhân),Nut,Hạt,48,1,1,5,0.2,0.2,0,0,Snack,0
Ground Lamb (1 oz filling),"Thịt cừu xay (phần nhân 28,35 g)",Protein/Meat,Chất đạm/Thịt,80,"46,147.00",0,6,0,0,20,20,Snack,0
Bulgur (1 tbsp shell),Hạt Bulgur (1 muỗng canh vỏ),Grain,Ngũ cốc,15,0.5,"46,115.00",0,0.8,0,1,0,Snack,0
Lentil Soup (1 cup Middle Eastern),"Súp Đậu Lăng (240 ml, Trung Đông)",Meal/Legume,Bữa ăn/Đậu,200,10,30,5,10,4,700,0,Lunch,250
Cumin (1 tsp),Cumin (5 ml),Condiment,Gia vị,8,0.3,"46,143.00",0.5,0.4,0.1,3,0,Lunch,0
Coriander (1 tsp),Ngò rí (1 muỗng cà phê),Condiment,Gia vị,5,0.1,1,0.2,0.5,0,1,0,Lunch,0
Lemon Juice (1 tsp in soup),Nước cốt chanh (1 muỗng cà phê trong súp),Condiment,Gia vị,1,0,0.4,0,0,0.1,0,0,Lunch,0
Pita Crisps (1 oz),Bánh mì dẹt Pita nướng giòn (28 g),Snack/Processed,Đồ ăn nhẹ/Chế biến,130,3,18,5,2,1,240,0,Lunch,0
Manakeesh (Za'atar 1 small),Bánh mì dẹt Manakeesh (Za'atar 1 cái nhỏ),Meal/Vegetarian,Bữa ăn/Chay,300,7,45,10,4,2,500,0,Breakfast,0
Za'atar (1 tbsp),Za'atar (15 ml),Condiment,Gia vị,40,1,3,3,1.5,0,150,0,Breakfast,0
Olive Oil (1 tbsp on bread),Dầu ô liu (14 gam trên bánh mì),Condiment,Gia vị,120,0,0,14,0,0,0,0,Breakfast,0
Labneh (2 tbsp),Labneh (30 ml),Dairy,Sản phẩm từ sữa,60,4,2,4,0,2,80,15,Breakfast,0
Cucumber (1/4 cup side),Dưa chuột (khẩu phần 60 ml),Vegetable,Rau củ,8,0.3,"46,235.00",0,0.2,0.8,1,0,Breakfast,0
Tomato (1/4 cup side),Cà chua (phần ăn kèm 60 ml),Vegetable,Rau củ,8,0.3,"46,235.00",0.1,0.5,"46,054.00",2,0,Breakfast,0
Olives (5 side),Ô liu (5 quả/khẩu phần),Fruit,Trái cây,35,0.2,1,"46,145.00",0.5,0,210,0,Breakfast,0
Mint Tea (1 cup),Trà Bạc Hà (240 ml),Beverage,Đồ uống,2,0.1,0.5,0,0,0,5,0,Breakfast,240
Stuffed Grape Leaves (3 pcs),Lá nho nhồi (3 cái),Meal/Vegetarian,Bữa ăn/Chay,150,3,20,7,3,3,400,0,Snack,0
Rice (1/4 cup filling),Cơm (45g khẩu phần),Grain,Ngũ cốc,51,"46,023.00","46,033.00",0.1,0.1,0,0,0,Snack,0
Turkish Coffee (1 small cup),Cà phê Thổ Nhĩ Kỳ (1 ly nhỏ),Beverage,Đồ uống,5,0.2,0.5,0,0,0,1,0,Snack,60
Cardamom (in coffee),Bạch đậu khấu (trong cà phê),Condiment,Gia vị,1,0,0.2,0,0.1,0,0,0,Snack,0
Shish Tawook (2 skewers),Shish Tawook (2 xiên),Meal/Meat,Bữa ăn/Thịt,300,35,5,16,1,2,600,100,Dinner,0
Garlic Sauce (Toum 1 tbsp),Nước Sốt Tỏi (Toum 1 muỗng canh),Condiment,Gia vị,90,0.1,1,10,0,0.5,80,5,Dinner,0
French Fries (side),Khoai tây chiên (món ăn kèm),Vegetable/Processed,Rau củ/Chế biến,340,4,44,17,4,0.3,230,0,Dinner,0
Pickled Cucumber (1/4 cup),Dưa chuột muối chua (59 ml),Vegetable,Rau củ,10,0.5,2,0,1,1,300,0,Dinner,0
Fattoush Salad (1.5 cups),Salad Fattoush (300 gam),Meal/Vegetarian,Bữa ăn/Chay,250,5,25,15,6,5,500,0,Lunch,0
Fried Pita (1/2 pita in salad),Bánh Pita chiên (1/2 chiếc bánh pita trong món salad),Grain,Ngũ cốc,80,2,12,3,1,0.5,150,0,Lunch,0
Sumac (1/2 tsp dressing),Bột Sumac (2.5 ml sốt),Condiment,Gia vị,5,0.1,1,0.2,0.5,0,1,0,Lunch,0
Pomegranate Molasses (1 tsp),Mật lựu (1 tsp),Condiment,Gia vị,15,0,4,0,0,4,0,0,Lunch,0
